transcript_id,agent_id,language_code,call_transcript
T001,A123,fr,"Client : Bonjour, j’ai réservé un vol pour Paris mais je n’ai pas reçu ma confirmation par e-mail. Agent : Bonjour, je peux vérifier cela pour vous. Pouvez-vous me donner votre numéro de réservation ? Client : Oui, c’est 4589XYZ. Agent : Merci. Je vois que la confirmation a été envoyée hier, je vais vous la renvoyer tout de suite."
T002,A137,fr,"Client : Mon vol de Casablanca à Dubaï a été retardé de trois heures. Puis-je demander une compensation ? Agent : Je suis désolé pour le retard. Oui, selon notre politique, vous pouvez faire une demande. Souhaitez-vous que je vous guide dans la procédure ? Client : Oui, s’il vous plaît."
T003,A145,fr,"Client : J’ai perdu ma valise à l’arrivée à l’aéroport de Dubaï. Agent : Je suis navré d’apprendre cela. Avez-vous rempli un rapport de bagages perdus ? Client : Non, pas encore. Agent : Je vais vous aider à le faire maintenant."
T004,A129,fr,"Client : Je veux modifier la date de mon vol retour de Genève à Dubaï. Agent : Bien sûr, je peux vous aider. Quelle nouvelle date souhaitez-vous ? Client : Le 22 avril. Agent : Très bien, il y a de la disponibilité, je procède au changement."
T005,A132,fr,"Client : Je suis allergique aux arachides, comment puis-je demander un repas spécial ? Agent : Vous pouvez faire la demande en ligne via votre réservation ou je peux le noter ici. Client : Merci, ce serait parfait. Agent : C’est noté, vous recevrez un repas sans arachides."
T006,A140,es,"Cliente: Hola, necesito cambiar el asiento de mi vuelo a clase ejecutiva si es posible. Agente: Con gusto le ayudo. ¿Puede proporcionarme su número de reserva? Cliente: Sí, es 7854ABC. Agente: Gracias. Veo que hay asientos disponibles en clase ejecutiva. Puedo hacer el cambio ahora con un cargo adicional. Cliente: Está bien, por favor hágalo."
T007,A141,es,"Cliente: Perdí mi conexión en Madrid y necesito que me reprogramen. Agente: Lo siento mucho. Revisaré las opciones disponibles para el próximo vuelo. Cliente: Gracias, necesito llegar lo antes posible."
T008,A142,es,"Cliente: ¿Puedo llevar una maleta adicional sin costo? Agente: Las tarifas económicas incluyen solo una maleta. Puedo verificar si hay promociones disponibles. Cliente: Está bien, por favor hágalo."
T009,A150,de,"Kunde: Ich möchte meinen Flug auf morgen umbuchen. Agent: Gerne, ich überprüfe die Verfügbarkeit. Kunde: Danke, das wäre sehr hilfreich."
T010,A151,de,"Kunde: Mein Gepäck ist beschädigt angekommen. Was kann ich tun? Agent: Es tut mir leid zu hören. Ich werde Ihnen helfen, einen Schadensbericht auszufüllen."
T011,A152,de,"Kunde: Ich habe spezielle Ernährungsbedürfnisse. Kann ich ein spezielles Menü anfordern? Agent: Ja, ich kann dies jetzt für Sie vermerken."
